Date,Region,Total Type 1 A&E Attendances,G&A beds available,G&A beds occupied,G&A occupancy rate,Total patients remaining,Staff Level,IMD_Most deprived 10%,IMD_More deprived 10-20%,IMD_More deprived 20-30%,IMD_More deprived 30-40%,IMD_More deprived 40-50%,IMD_Less deprived 40-50%,IMD_Less deprived 30-40%,IMD_Less deprived 20-30%,IMD_Less deprived 10-20%,IMD_Least deprived 10%,Pop_0-4,Pop_5-9,Pop_10-14,Pop_15-19,Pop_20-24,Pop_25-29,Pop_30-34,Pop_35-39,Pop_40-44,Pop_45-49,Pop_50-54,Pop_55-59,Pop_60-64,Pop_65-69,Pop_70-74,Pop_75-79,Pop_80-84,Pop_85-89,Pop_90+
2020-03-01,East of England,110869.0,9944.0,8201.0,82.5%,,120774,33816,31077,29860,29702,30308,30101,29805,29470,29315,28191,1434353,320521,284007,421699,684438,943978,1041948,914930,765319,923480,1159174,1470506,1393557,1552691,1938756,1796702,1646650,1229545,816206
2020-03-01,London,172289.0,13737.0,11911.0,86.7%,,210843,33816,31077,29860,29702,30308,30101,29805,29470,29315,28191,1434353,320521,284007,421699,684438,943978,1041948,914930,765319,923480,1159174,1470506,1393557,1552691,1938756,1796702,1646650,1229545,816206
2020-03-01,Midlands,185326.0,18103.0,14857.0,82.1%,,241535,33816,31077,29860,29702,30308,30101,29805,29470,29315,28191,1434353,320521,284007,421699,684438,943978,1041948,914930,765319,923480,1159174,1470506,1393557,1552691,1938756,1796702,1646650,1229545,816206
2020-03-01,North East and Yorkshire,168960.0,16805.0,13181.0,78.4%,,216381,33816,31077,29860,29702,30308,30101,29805,29470,29315,28191,1434353,320521,284007,421699,684438,943978,1041948,914930,765319,923480,1159174,1470506,1393557,1552691,1938756,1796702,1646650,1229545,816206
2020-03-01,North West,145813.0,14609.0,12024.0,82.3%,,197296,33816,31077,29860,29702,30308,30101,29805,29470,29315,28191,1434353,320521,284007,421699,684438,943978,1041948,914930,765319,923480,1159174,1470506,1393557,1552691,1938756,1796702,1646650,1229545,816206
2020-03-01,South East,144906.0,13013.0,10936.0,84.0%,,173854,33816,31077,29860,29702,30308,30101,29805,29470,29315,28191,1434353,320521,284007,421699,684438,943978,1041948,914930,765319,923480,1159174,1470506,1393557,1552691,1938756,1796702,1646650,1229545,816206
2020-03-01,South West,84858.0,9593.0,7557.0,78.8%,,126885,33816,31077,29860,29702,30308,30101,29805,29470,29315,28191,1434353,320521,284007,421699,684438,943978,1041948,914930,765319,923480,1159174,1470506,1393557,1552691,1938756,1796702,1646650,1229545,816206
2020-04-01,East of England,76994.0,9126.0,5326.0,58.4%,,121232,33816,31077,29860,29702,30308,30101,29805,29470,29315,28191,1434353,320521,284007,421699,684438,943978,1041948,914930,765319,923480,1159174,1470506,1393557,1552691,1938756,1796702,1646650,1229545,816206
2020-04-01,London,110925.0,12399.0,8748.0,70.6%,,212793,33816,31077,29860,29702,30308,30101,29805,29470,29315,28191,1434353,320521,284007,421699,684438,943978,1041948,914930,765319,923480,1159174,1470506,1393557,1552691,1938756,1796702,1646650,1229545,816206
2020-04-01,Midlands,119380.0,17544.0,10182.0,58.0%,,243819,33816,31077,29860,29702,30308,30101,29805,29470,29315,28191,1434353,320521,284007,421699,684438,943978,1041948,914930,765319,923480,1159174,1470506,1393557,1552691,1938756,1796702,1646650,1229545,816206
